80,Charlemont,"10 School St./Route 2",charlemont,Franklin,Massachusetts,
81,"Kittery Community Market","10 Shapleigh RD",Kittery,York,Maine,3904
82,"Shillington Farmers market","10 South Summit Avenue",Shillington,Berks,Pennsylvania,19607
83,"King City Certified Farmers Market","100 & 200 Block of Broadway St.","King City",Monterey,California,93930
84,"Janesville Farmers Market","100 & 200 Blocks of Main Street",Janesville,Rock,Wisconsin,53545
85,"Valley Junction Farmers Market","100 & 200 blocks on 5th Street","West Des Moines",Polk,Iowa,50265
86,"Hayfield Farmer Market","100 2nd Street NE",Hayfield,Dodge,Minnesota,55940
87,"San Francisco Alemany Farmers Market","100 Alemany Boulevard","San Francisco","San Francisco",California,94110
88,"South Wedge Farmers Market","100 Alexander St.",Rochester,Monroe,"New York",14620
89,"Kelso Bridge Market","100 Allen St. & Pacific Ave.",Kelso,Cowlitz,Washington,98626
90,"Downtown Cumberland","100 Baltimore Street",Cumberland,Allegany,Maryland,21502
91,"Richmond County Farmers Market","100 Biltmore Drive",Rockingham,Richmond,"North Carolina",28379
92,"Mason Area Farmers Market","100 block East Maple at Jefferson (in street)",Mason,Ingham,Michigan,48854
